title,tokens
Аналитик данных,владение метод анализ данных использование highlighttext python highlighttext pandas scipy stats желание бизнес - процесс данных
Data Engineer (senior) в Управление мастер данных,образование умение аспект бизнес - язык
Python-разработчик (Middle+),инструмент технология понимание devops - подход принцип работа ci cd инфраструктура
Разработчик PHP Moodle,agile scrum опыт работа стартапах команда знание язык программирование технология go highlighttext python highlighttext
ML Engineer/Computer Vision Engineer,навык анализ ряд работа данными сенсор владение highlighttext python highlighttext знание преимущество знание
Middle Python-разработчик (IoT/Embedded),опыт разработка приложение нуль знание highlighttext python highlighttext способность код использование фреймворк -
Senior Kotlin/Java Developer,понимание работа протокол передача данных интерес безопасность кибербезопасности опыт интерес экосистема highlighttext python highlighttext
Инженер систем мониторинга,опыт работа инженер мониторинг инженер знание уровень администратор знание создание шаблон использование
Аналитик данных,подход решение задача опыт работа highlighttext python highlighttext pyspark обработка анализ данных опыт работа
Специалист / BIM мастер,образование строительство строительство здание сооружение microsoft word excel outlook abbyy finereader pdf
Разработчик python,владение язык программирование highlighttext python highlighttext java знание тип задача оптимизация lp nlp д - опыт работа пакет
QA Engineer,опыт работа язык программирование highlighttext python highlighttext java опыт автоматизация тестирование highlighttext python highlighttext pl sql
Системный администратор Linux (проект Стройка),технология контейнеризация знание язык bash highlighttext python highlighttext go java опыт сопровождение система понимание работа приложение настройка запуск
Младший аналитик (стажер),образование курс университет специальность математика физик информатика знание - r highlighttext python highlighttext преимущество -
Middle Data Scientist (Классический ML),владение highlighttext python highlighttext опыт разработка внедрение - модель знание статистика модель понимание алгоритм обучение
Системный инженер,сервис уровень http dns ssh опыт применение highlighttext python highlighttext администрирование
DevOps Engineer,знание инструмент автоматизация puppet ansible опыт программирование highlighttext python highlighttext java знание протокол опыт работа
Стажер Тестировщик QA (ручное и автотестирование Python),ответственность пунктуальность опыт работа selenium highlighttext python highlighttext теория тестирование
Backend Python-программист,знание highlighttext python highlighttext опыт работа библиотеками fast api sqlalchemy asyncio pydantic знание опыт работа mongo db postgresql
Middle Python developer,опыт работа highlighttext python highlighttext год навык разработка приложение архитектура
Junior Data Analyst,умение построение витрина powerbi datalens навык программирование highlighttext python highlighttext плюс знание
Аналитик данных (Customer Experience),образование математика информатика статистика владение highlighttext python highlighttext знание метод обучение опыт
Media Data Analyst (media research),уровень владение excel power point владение highlighttext python highlighttext знание принцип визуализация данных желание
Data Engineer,опыт работа опыт понимание cdc kafkaconnect debezium знание highlighttext python highlighttext работа объём данных
Junior Data Scientist,понимание метод обучение применение поиск закономерность опыт работа навык программирование highlighttext python highlighttext библиотека
Биоинформатик в генетическую лабораторию,навык программирование владение язык highlighttext python highlighttext r sql умение библиотеками pandas numpy scikit - learn
Аналитик визуализации данных,tableau power point презентация данных знание основа статистика эконометрика бизнес - анализа понимание бизнес - процессов знание sql highlighttext python highlighttext плюс
Начальник отдела информационной безопасности (в единственном числе),понимание принцип работа умение сервис опыт автоматизация bash perl highlighttext python highlighttext знание работа сеть адресация
Data Analyst (Аналитика Данных),год опыт highlighttext python highlighttext анализ визуализация данных - умение код возможность highlighttext python highlighttext навык
Junior Product Analyst,знание опыт анализ данных highlighttext python highlighttext знание основа статистика аппарат анализ данных
Специалист по вибродиагностике,знание метод контроль вибродиагностика опыт обработка сигнал владение highlighttext python highlighttext matlab коллега открытость порядочность
Младший инженер-программист (стажер),умение скрипт bash highlighttext python highlighttext bash уровень владение highlighttext python highlighttext знание желание
Стажер по направлению «Управление проектами» в Сбер,навык data science excel powerpoint sql возможность обучение направление hard skills
Младший BI-аналитик,умение бизнес - требования заказчик результат работа знание библиотека highlighttext python highlighttext плюс опыт работа
Стажер iOS-Разработчик,знание опыт разработка приложение понимание принцип архитектура clean swift желание -
Инженер-тестировщик,понимание этап разработка цикл знание язык программирование highlighttext python highlighttext знание метод тестирование умение
Тестировщик ПО/QA,знание работа консоль разработчик браузер знание sql highlighttext python highlighttext опыт тестирование веб приложение
Руководитель группы аналитики,навык работа инструмент анализ данных highlighttext python highlighttext sql power bi tableau обучение опыт анализ бизнес
Data Analyst,знание highlighttext python highlighttext pandas numpy seaborn - опыт проведение a b - тест анализ работа юнит - экономика
Senior Python Back-End Developer,highlighttext python highlighttext год год опыт разработка умение highlighttext python highlighttext
Специалист по машинному обучению (ML-инженер),владение highlighttext python highlighttext библиотеками обучение знание работа база данных знание алгоритм обучение
Middle Back-end developer (Новосибирск),опыт работа highlighttext python highlighttext год навык работа траспайлером nuitka опыт работа фреймворк fastapi django
Java Developer (middle),знание фреймворк spring boot представление код
Администратор интернет-магазина,знание html css php знание highlighttext python highlighttext частность работа flask понимание опыт работа с - бус
Аналитик данных,умение модель продажа - умение объём данных преимущество - знание программа highlighttext python highlighttext - опыт работа аналитик
Заместитель руководителя отдела аналитики / аналитик,владение инструмент анализ excel power bi tableau highlighttext python highlighttext r намерение
Системный инженер в отдел практической информационной безопасности,система виртуализации hyper оса семейство windows windows windows server windows server
"Стажер, Data Analyst / Data Scientist",уровень highlighttext python highlighttext pandas numpy часть анализ обработка данных понимание знание алгоритм структура данных рекурсия деревья
Junior SQL developer / Разработчик баз данных,знание язык программирование строка файл обращение бд опыт работа highlighttext python highlighttext опыт
Программист в VK Predict,опыт бэкенд - разработка highlighttext python highlighttext дизайн код архитектура толерантность наличие код highlighttext python highlighttext
Junior DevOps Engineer,опыт работа docker опыт написание скрипт bash highlighttext python highlighttext работа оркестратор микросервисов hashicorp nomad знание мониторинг помощь
Старший аналитик данных в Dwelly (Великобритания),поглощение момент due diligence агентство
Специалист по искусственному интеллекту (Data Science),опыт работа обработка анализ данных умение объём информация знание язык программирование highlighttext python highlighttext библиотека
Golang Developer (Москва),ооп шаблоны проектирование алгоритм структура данных необходимость умение
Аналитик данных (команда Корпоративного развития),навык работа highlighttext python highlighttext понимание работа база данных принцип разработка внимание деталь
Аналитик данных,владение sql mysql postgresql опыт работа highlighttext python highlighttext анализ данных библиотека pandas numpy scipy matplotlib seaborn
BI-разработчик в команду Авито Работы,данные результат исследование вещь слово коллега
Фронтенд-разработчик в международный стартап по созданию бизнес-приложений на основе ChatGPT,стек технология - опыт работа год - опыт работа - опыт работа система понимание принцип работа
Аналитик данных,знание умение таблица данные опыт процесс знание highlighttext python highlighttext pandas numpy sqlite pyodbc sqlalchemy
