title,str_keywords
Аналитик данных,"stats, данных, scipy, процесс, желание"
Data Engineer (senior) в Управление мастер данных,"аспект, бизнес, образование, умение, язык"
Python-разработчик (Middle+),"devops, инфраструктура, cd, ci, подход"
Разработчик PHP Moodle,"agile, стартапах, scrum, команда, go"
ML Engineer/Computer Vision Engineer,"ряд, сенсор, данными, преимущество, знание"
Middle Python-разработчик (IoT/Embedded),"нуль, код, способность, фреймворк, приложение"
Senior Kotlin/Java Developer,"интерес, кибербезопасности, передача, экосистема, безопасность"
Инженер систем мониторинга,"инженер, шаблон, администратор, мониторинг, создание"
Аналитик данных,"pyspark, решение, подход, задача, обработка"
Специалист / BIM мастер,"строительство, abbyy, finereader, microsoft, outlook"
Разработчик python,"lp, пакет, тип, nlp, оптимизация"
QA Engineer,"pl, highlighttext, автоматизация, java, тестирование"
Системный администратор Linux (проект Стройка),"запуск, контейнеризация, сопровождение, настройка, go"
Младший аналитик (стажер),"специальность, университет, физик, информатика, математика"
Middle Data Scientist (Классический ML),"модель, внедрение, статистика, алгоритм, обучение"
Системный инженер,"dns, ssh, сервис, http, применение"
DevOps Engineer,"puppet, ansible, протокол, инструмент, автоматизация"
Стажер Тестировщик QA (ручное и автотестирование Python),"пунктуальность, selenium, теория, ответственность, тестирование"
Backend Python-программист,"db, fast, mongo, pydantic, asyncio"
Middle Python developer,"архитектура, приложение, навык, год, разработка"
Junior Data Analyst,"powerbi, витрина, datalens, построение, плюс"
Аналитик данных (Customer Experience),"информатика, математика, статистика, метод, обучение"
Media Data Analyst (media research),"владение, point, визуализация, желание, excel"
Data Engineer,"cdc, debezium, kafkaconnect, объём, работа"
Junior Data Scientist,"закономерность, поиск, применение, метод, библиотека"
Биоинформатик в генетическую лабораторию,"learn, scikit, библиотеками, numpy, pandas"
Аналитик визуализации данных,"бизнес, анализа, эконометрика, презентация, процессов"
Начальник отдела информационной безопасности (в единственном числе),"perl, адресация, сервис, сеть, автоматизация"
Data Analyst (Аналитика Данных),"возможность, highlighttext, визуализация, код, анализ"
Junior Product Analyst,"анализ, аппарат, данных, статистика, основа"
Специалист по вибродиагностике,"matlab, вибродиагностика, открытость, порядочность, сигнал"
Младший инженер-программист (стажер),"bash, highlighttext, желание, скрипт, уровень"
Стажер по направлению «Управление проектами» в Сбер,"hard, science, skills, powerpoint, возможность"
Младший BI-аналитик,"заказчик, требования, результат, библиотека, бизнес"
Стажер iOS-Разработчик,"clean, swift, желание, архитектура, приложение"
Инженер-тестировщик,"цикл, этап, метод, тестирование, знание"
Тестировщик ПО/QA,"браузер, консоль, разработчик, веб, приложение"
Руководитель группы аналитики,"анализ, tableau, bi, обучение, бизнес"
Data Analyst,"экономика, юнит, seaborn, тест, проведение"
Senior Python Back-End Developer,"год, highlighttext, умение, разработка, python"
Специалист по машинному обучению (ML-инженер),"обучение, библиотеками, алгоритм, база, знание"
Middle Back-end developer (Новосибирск),"nuitka, траспайлером, работа, фреймворк, fastapi"
Java Developer (middle),"boot, spring, представление, код, фреймворк"
Администратор интернет-магазина,"бус, частность, css, html, php"
Аналитик данных,"умение, продажа, объём, аналитик, программа"
Заместитель руководителя отдела аналитики / аналитик,"намерение, tableau, bi, инструмент, excel"
Системный инженер в отдел практической информационной безопасности,"windows, server, hyper, виртуализации, оса"
"Стажер, Data Analyst / Data Scientist","деревья, рекурсия, часть, данных, структура"
Junior SQL developer / Разработчик баз данных,"обращение, файл, строка, бд, опыт"
Программист в VK Predict,"код, бэкенд, толерантность, дизайн, highlighttext"
Junior DevOps Engineer,"hashicorp, nomad, оркестратор, микросервисов, docker"
Старший аналитик данных в Dwelly (Великобритания),"diligence, due, агентство, момент, поглощение"
Специалист по искусственному интеллекту (Data Science),"информация, объём, библиотека, обработка, анализ"
